Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PolicyCreation,Chrome 73.0.3683.86,,2019-04-11 18:48:50,2019-04-11 18:51:21,2m - 30.314s,FAILED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 73.0.3683.86,,2019-04-11 18:48:59,2019-04-11 18:49:10,11.009s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-11 18:49:00,2019-04-11 18:49:00,0.003s,NOT_RUN
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 73.0.3683.86,,2019-04-11 18:49:00,2019-04-11 18:49:00,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 73.0.3683.86,,2019-04-11 18:49:00,2019-04-11 18:49:00,0.240s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 73.0.3683.86,,2019-04-11 18:49:00,2019-04-11 18:49:00,0.133s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-11 18:49:00,2019-04-11 18:49:04,4.021s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-11 18:49:04,2019-04-11 18:49:04,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 73.0.3683.86,,2019-04-11 18:49:04,2019-04-11 18:49:10,6.412s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.86,,2019-04-11 18:49:10,2019-04-11 18:49:10,0.001s,NOT_RUN
log.logInfo(“Dipak”),Chrome 73.0.3683.86,,2019-04-11 18:49:10,2019-04-11 18:49:10,0.001s,NOT_RUN
,,,,,,
Test Cases/TC04-AccountMatching-MGA,Chrome 73.0.3683.86,This is Account Matching OF MGA,2019-04-11 18:49:10,2019-04-11 18:50:16,1m - 5.101s,FAILED
delay(3),Chrome 73.0.3683.86,,2019-04-11 18:49:11,2019-04-11 18:49:14,3.007s,PASSED
"scrollToElement(findTestObject(""TC04-AccountMatching-MGA/AccountManagement""), 5)",Chrome 73.0.3683.86,,2019-04-11 18:49:14,2019-04-11 18:49:14,0.057s,PASSED
"click(findTestObject(""TC04-AccountMatching-MGA/AccountManagement""))",Chrome 73.0.3683.86,,2019-04-11 18:49:14,2019-04-11 18:49:14,0.068s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-04-11 18:49:14,2019-04-11 18:49:14,0.001s,NOT_RUN
"waitForElementVisible(findTestObject(""TC04-AccountMatching-MGA/AccountMatchingLink""), 4)",Chrome 73.0.3683.86,,2019-04-11 18:49:14,2019-04-11 18:49:14,0.570s,PASSED
"click(findTestObject(""TC04-AccountMatching-MGA/AccountMatchingLink""))",Chrome 73.0.3683.86,,2019-04-11 18:49:14,2019-04-11 18:49:16,1.573s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-04-11 18:49:16,2019-04-11 18:49:21,5.003s,PASSED
"selectOptionByLabel(findTestObject(""TC04-AccountMatching-MGA/EntityType""), ""MGA"", false)",Chrome 73.0.3683.86,,2019-04-11 18:49:21,2019-04-11 18:49:21,0.107s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-04-11 18:49:21,2019-04-11 18:49:26,5.004s,PASSED
"selectOptionByLabel(findTestObject(""TC04-AccountMatching-MGA/Entity""), ""NEW MGA"", false)",Chrome 73.0.3683.86,,2019-04-11 18:49:26,2019-04-11 18:49:26,0.103s,PASSED
"waitForElementClickable(findTestObject(""TC04-AccountMatching-MGA/ClickGoButton""), 5)",Chrome 73.0.3683.86,,2019-04-11 18:49:26,2019-04-11 18:49:26,0.051s,PASSED
"click(findTestObject(""TC04-AccountMatching-MGA/ClickGoButton""))",Chrome 73.0.3683.86,,2019-04-11 18:49:26,2019-04-11 18:49:29,2.566s,PASSED
waitForJQueryLoad(5),Chrome 73.0.3683.86,,2019-04-11 18:49:29,2019-04-11 18:49:30,0.881s,PASSED
"selectOptionByLabel(findTestObject(""TC04-AccountMatching-MGA/SelectAccount""), ""ComissionOnly -- Allocated -- NEW MGA CommAccount -- USD"", false)",Chrome 73.0.3683.86,,2019-04-11 18:49:30,2019-04-11 18:49:30,0.092s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-04-11 18:49:30,2019-04-11 18:49:35,5.003s,PASSED
"setText(findTestObject(""TC04-AccountMatching-MGA/Acc_Matching_PolicyNo_TextBox""), MTA_Policy_No)",Chrome 73.0.3683.86,,2019-04-11 18:49:35,2019-04-11 18:49:35,0.259s,PASSED
"sendKeys(findTestObject(""TC04-AccountMatching-MGA/Acc_Matching_PolicyNo_TextBox""), Keys.chord(ENTER))",Chrome 73.0.3683.86,,2019-04-11 18:49:35,2019-04-11 18:49:35,0.052s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-04-11 18:49:35,2019-04-11 18:49:40,5.004s,PASSED
